date,open,high,low,close,volume,Name
12/19/2014,511.51,517.72,506.9106,516.35,3680148,GOOG
12/22/2014,516.08,526.46,516.08,524.87,2723599,GOOG
12/23/2014,527,534.56,526.29,530.59,2191567,GOOG
12/24/2014,530.51,531.759,527.02,528.77,704035,GOOG
12/26/2014,528.77,534.25,527.31,534.03,1037727,GOOG
12/29/2014,532.19,535.48,530.011,530.33,2276104,GOOG
12/30/2014,528.09,531.15,527.13,530.42,873923,GOOG
12/31/2014,531.25,532.6,525.8,526.4,1371819,GOOG
1/2/2015,529.01,531.27,524.1,524.81,1446662,GOOG
1/5/2015,523.26,524.33,513.06,513.87,2054238,GOOG
1/6/2015,515,516.175,501.05,501.96,2891950,GOOG
1/7/2015,507,507.244,499.65,501.1,2059366,GOOG
1/8/2015,497.99,503.48,491,502.68,3344395,GOOG
1/9/2015,504.76,504.92,494.79,496.17,2065715,GOOG
1/12/2015,494.94,495.976,487.56,492.55,2320446,GOOG
1/13/2015,498.84,502.98,492.39,496.18,2365687,GOOG
1/14/2015,494.65,503.23,493,500.87,2229638,GOOG
1/15/2015,505.57,505.68,497.76,501.79,2711355,GOOG
1/16/2015,500.01,508.19,500,508.08,2292043,GOOG
1/20/2015,511,512.5,506.016,506.9,2225922,GOOG
1/21/2015,507.25,519.28,506.2,518.04,2262455,GOOG
1/22/2015,521.48,536.33,519.7,534.39,2669558,GOOG
1/23/2015,535.59,542.17,533,539.95,2275485,GOOG
1/26/2015,538.53,539,529.67,535.21,1539524,GOOG
1/27/2015,529.97,530.7,518.19,518.63,1898844,GOOG
1/28/2015,522.78,522.99,510,510,1679230,GOOG
1/29/2015,511,511.09,501.2,510.66,4174924,GOOG
1/30/2015,515.86,539.87,515.52,534.52,5590977,GOOG
2/2/2015,531.73,533,518.55,528.48,2841976,GOOG
2/3/2015,528,533.4,523.26,529.24,2033085,GOOG
2/4/2015,529.24,532.6715,521.27,522.76,1659125,GOOG
2/5/2015,523.79,528.5,522.09,527.58,1844687,GOOG
2/6/2015,527.64,537.2,526.41,531,1758650,GOOG
2/9/2015,528,532,526.02,527.83,1264276,GOOG
2/10/2015,529.3,537.7,526.92,536.94,1745076,GOOG
2/11/2015,535.3,538.45,533.3775,535.97,1373970,GOOG
2/12/2015,537.25,544.82,534.673,542.93,1615824,GOOG
2/13/2015,543.35,549.91,543.13,549.01,1895126,GOOG
2/17/2015,546.83,550,541.09,542.84,1612439,GOOG
2/18/2015,541.4,545.49,537.51,539.7,1449089,GOOG
2/19/2015,538.04,543.11,538.01,542.87,987478,GOOG
2/20/2015,543.13,543.75,535.8,538.95,1441212,GOOG
2/23/2015,536.05,536.439,529.41,531.91,1453907,GOOG
2/24/2015,530,536.79,528.25,536.09,1002393,GOOG
2/25/2015,535.9,546.22,535.445,543.87,1821041,GOOG
2/26/2015,543.21,556.14,541.5,555.48,2305219,GOOG
2/27/2015,554.24,564.71,552.9,558.4,2403553,GOOG
3/2/2015,560.53,572.15,558.75,571.34,2123796,GOOG
3/3/2015,570.45,575.39,566.52,573.64,1700084,GOOG
3/4/2015,571.87,577.11,568.01,573.37,1871694,GOOG
3/5/2015,575.02,577.91,573.41,575.33,1385818,GOOG
3/6/2015,574.88,576.6799,566.76,567.685,1654561,GOOG
3/9/2015,566.86,570.27,563.535,568.85,1059336,GOOG
3/10/2015,564.25,564.85,554.73,555.01,1787357,GOOG
3/11/2015,555.14,558.14,550.68,551.18,1815763,GOOG
3/12/2015,553.51,556.37,550.46,555.51,1385772,GOOG
3/13/2015,553.5,558.4,544.22,547.32,1698872,GOOG
3/16/2015,550.95,556.85,546,554.51,1636493,GOOG
3/17/2015,551.71,553.8,548,550.84,1800570,GOOG
3/18/2015,552.5,559.78,547.0001,559.5,2128714,GOOG
3/19/2015,559.39,560.8,556.145,557.99,1194049,GOOG
3/20/2015,561.65,561.72,559.05,560.36,2609690,GOOG
3/23/2015,560.43,562.36,555.83,558.81,1639306,GOOG
3/24/2015,562.56,574.59,561.21,570.19,2576234,GOOG
3/25/2015,570.5,572.26,558.74,558.785,2146384,GOOG
3/26/2015,557.59,558.9,550.65,555.17,1568331,GOOG
3/27/2015,553,555.28,548.13,548.34,1892323,GOOG
3/30/2015,551.62,553.47,548.17,552.03,1283958,GOOG
3/31/2015,550,554.71,546.72,548,1583677,GOOG
4/1/2015,548.6,551.14,539.5,542.56,1957718,GOOG
4/2/2015,540.85,540.85,533.8467,535.53,1711737,GOOG
4/6/2015,532.22,538.41,529.57,536.765,1320767,GOOG
4/7/2015,538.08,542.69,536,537.02,1299298,GOOG
4/8/2015,538.38,543.85,538.38,541.61,1175332,GOOG
4/9/2015,541.03,541.95,535.49,540.78,1553586,GOOG
4/10/2015,542.29,542.29,537.31,540.01,1405574,GOOG
4/13/2015,538.41,544.06,537.31,539.17,1640809,GOOG
4/14/2015,536.25,537.5699,528.0925,530.39,2597043,GOOG
4/15/2015,528.7,534.73,523.22,532.53,2312512,GOOG
4/16/2015,529.9,535.59,529.61,533.8,1296304,GOOG
4/17/2015,528.66,529.84,521.01,524.05,2145955,GOOG
4/20/2015,525.6,536.09,524.5,535.38,1675487,GOOG
4/21/2015,537.51,539.39,533.675,533.97,1839668,GOOG
4/22/2015,534.4,541.08,531.75,539.365,1589248,GOOG
4/23/2015,541,550.96,540.23,547,4173376,GOOG
4/24/2015,566.1,571.14,557.25,565.06,4919031,GOOG
4/27/2015,563.39,565.95,553.2001,555.37,2398039,GOOG
4/28/2015,554.64,556.02,550.366,553.68,1490983,GOOG
4/29/2015,550.47,553.68,546.905,549.08,1698761,GOOG
4/30/2015,547.87,548.59,535.05,537.34,2082214,GOOG
5/1/2015,538.43,539.54,532.1,537.9,1768181,GOOG
5/4/2015,538.53,544.07,535.06,540.78,1307960,GOOG
5/5/2015,538.21,539.74,530.3906,530.8,1383068,GOOG
5/6/2015,531.24,532.38,521.085,524.22,1566987,GOOG
5/7/2015,523.99,533.46,521.75,530.7,1546278,GOOG
5/8/2015,536.65,541.15,536,538.22,1527615,GOOG
5/11/2015,538.37,541.98,535.4,535.7,905285,GOOG
5/12/2015,531.6,533.2089,525.26,529.04,1634174,GOOG
5/13/2015,530.56,534.3215,528.655,529.62,1253063,GOOG
5/14/2015,533.77,539,532.41,538.4,1403935,GOOG
5/15/2015,539.18,539.2743,530.38,533.85,1971343,GOOG
5/18/2015,532.01,534.82,528.85,532.3,2003421,GOOG
